ticker,date,open,high,low,close
TUSD,2020-04-06,1.001,1.007,0.9962,0.998
TUSD,2020-04-07,0.998,1.004,0.995,1.0
TUSD,2020-04-08,1.0,1.005,0.9957,0.999
TUSD,2020-04-09,0.999,1.006,0.997,0.999
TUSD,2020-04-10,0.999,1.005,0.9898,0.998
TUSD,2020-04-11,0.998,1.005,0.9952,1.001
TUSD,2020-04-12,1.001,1.004,0.995,0.997
TUSD,2020-04-13,0.997,1.007,0.996,0.997
TUSD,2020-04-14,0.997,1.005,0.9954,0.999
TUSD,2020-04-15,0.999,1.003,0.9949,0.999
TUSD,2020-04-16,0.999,1.004,0.994,0.998
TUSD,2020-04-17,0.998,1.006,0.9953,0.997
TUSD,2020-04-18,0.997,1.021,0.9957,0.998
TUSD,2020-04-19,0.998,1.006,0.9957,1.001
TUSD,2020-04-20,1.001,1.005,0.9928,0.999
TUSD,2020-04-21,0.999,1.006,0.9956,1.0
TUSD,2020-04-22,1.0,1.006,0.9965,0.999
TUSD,2020-04-23,0.999,1.007,0.9921,0.999
TUSD,2020-04-24,0.999,1.003,0.9944,0.9944
TUSD,2020-04-25,0.9942,1.007,0.993,0.999
TUSD,2020-04-26,0.999,1.004,0.9955,0.999
TUSD,2020-04-27,0.999,1.005,0.995,0.998
TUSD,2020-04-28,0.998,1.003,0.997,1.0
TUSD,2020-04-29,1.0,1.003,0.994,0.9998
TUSD,2020-04-30,0.9998,1.005,0.9876,1.001
TUSD,2020-05-01,1.001,1.003,0.996,1.0
TUSD,2020-05-02,1.0,1.004,0.997,1.0
TUSD,2020-05-03,1.0,1.004,0.9954,1.0
TUSD,2020-05-04,1.0,1.005,0.997,1.001
TUSD,2020-05-05,1.001,1.005,0.9947,0.999
TUSD,2020-05-06,0.999,1.005,0.996,0.998
TUSD,2020-05-07,0.998,1.006,0.996,0.998
TUSD,2020-05-08,0.998,1.001,0.996,0.998
TUSD,2020-05-09,0.998,1.004,0.997,1.0
TUSD,2020-05-10,1.0,1.012,0.996,0.999
TUSD,2020-05-11,0.999,1.007,0.996,0.999
TUSD,2020-05-12,0.999,1.004,0.996,0.999
TUSD,2020-05-13,0.999,1.005,0.996,0.998
TUSD,2020-05-14,0.998,1.005,0.995,1.0
TUSD,2020-05-15,1.0,1.004,0.9964,1.001
TUSD,2020-05-16,1.001,1.003,0.9976,0.9999
TUSD,2020-05-17,0.9998,1.005,0.9954,0.9998
TUSD,2020-05-18,0.9998,1.003,0.9955,1.0
TUSD,2020-05-19,1.0,1.003,0.9974,1.0
TUSD,2020-05-20,1.0,1.003,0.994,1.001
TUSD,2020-05-21,1.001,1.005,0.997,1.001
TUSD,2020-05-22,1.0,1.005,0.9969,1.0
TUSD,2020-05-23,1.0,1.006,0.9962,1.0
TUSD,2020-05-24,1.0,1.006,0.9936,0.9989
TUSD,2020-05-25,0.9989,1.006,0.9958,1.0
TUSD,2020-05-26,1.0,1.007,0.9944,0.9998
TUSD,2020-05-27,0.9998,1.005,0.9974,0.999
TUSD,2020-05-28,0.999,1.004,0.998,1.0
TUSD,2020-05-29,1.0,1.003,0.997,1.001
TUSD,2020-05-30,1.001,1.037,0.9931,1.0
TUSD,2020-05-31,1.0,1.007,0.9911,0.9994
TUSD,2020-06-01,0.9988,1.01,0.9933,1.002
TUSD,2020-06-02,1.002,1.016,0.922,0.9995
TUSD,2020-06-03,0.9995,1.005,0.9954,1.002
TUSD,2020-06-04,1.002,1.006,0.996,1.001
TUSD,2020-06-05,1.001,1.003,0.9927,0.9997
TUSD,2020-06-06,0.9994,1.008,0.9916,0.9997
TUSD,2020-06-07,0.9997,1.007,0.9945,1.0
TUSD,2020-06-08,1.0,1.004,0.9952,1.001
TUSD,2020-06-09,1.001,1.009,0.988,0.999
TUSD,2020-06-10,0.999,1.018,0.9772,1.0
TUSD,2020-06-11,1.0,1.004,0.9943,1.001
TUSD,2020-06-12,1.002,1.003,0.9921,1.001
TUSD,2020-06-13,1.001,1.007,0.9963,1.002
TUSD,2020-06-14,1.002,1.003,0.9934,1.001
TUSD,2020-06-15,1.001,1.013,0.9959,1.002
TUSD,2020-06-16,1.001,1.008,0.9959,0.9997
TUSD,2020-06-17,0.9996,1.009,0.993,1.0
TUSD,2020-06-18,1.001,1.007,0.9963,1.002
TUSD,2020-06-19,1.002,1.004,0.9978,1.001
TUSD,2020-06-20,1.001,1.005,0.9943,1.0
TUSD,2020-06-21,1.0,1.007,0.9979,1.0
TUSD,2020-06-22,1.0,1.006,0.9963,1.0
TUSD,2020-06-23,1.0,1.005,0.9973,1.001
TUSD,2020-06-24,1.001,1.005,0.9771,1.002
TUSD,2020-06-25,1.002,1.008,0.9962,1.001
TUSD,2020-06-26,1.001,1.01,0.9962,0.9994
TUSD,2020-06-27,0.9994,1.008,0.9912,1.0
TUSD,2020-06-28,1.0,1.005,0.9962,1.001
TUSD,2020-06-29,1.001,1.005,0.9941,1.0
TUSD,2020-06-30,1.0,1.006,0.9959,1.0
TUSD,2020-07-01,0.9997,1.009,0.9953,1.0
TUSD,2020-07-02,1.0,1.01,0.9963,1.006
TUSD,2020-07-03,1.003,1.003,0.9978,1.001
TUSD,2020-07-04,1.002,1.004,0.9967,0.999
TUSD,2020-07-05,0.9999,1.009,0.9963,1.0
TUSD,2020-07-06,0.9997,1.004,0.9954,1.0
TUSD,2020-07-07,1.0,1.004,0.9946,1.001
TUSD,2020-07-08,1.001,1.005,0.9967,1.001
TUSD,2020-07-09,1.001,1.007,0.992,1.002
TUSD,2020-07-10,1.002,1.006,0.9965,0.9999
TUSD,2020-07-11,1.0,1.013,0.9962,1.001
TUSD,2020-07-12,1.001,1.002,0.9965,1.001
TUSD,2020-07-13,1.001,1.004,0.9964,1.001
TUSD,2020-07-14,1.001,1.003,0.9972,1.001
TUSD,2020-07-15,1.001,1.004,0.9976,1.001
TUSD,2020-07-16,1.001,1.004,0.9937,1.002
TUSD,2020-07-17,1.002,1.004,0.9973,0.9997
TUSD,2020-07-18,1.0,1.004,0.9985,1.001
TUSD,2020-07-19,1.001,1.002,0.9983,1.001
TUSD,2020-07-20,1.001,1.003,0.9952,1.001
TUSD,2020-07-21,1.001,1.004,0.998,1.0
TUSD,2020-07-22,1.001,1.006,0.9972,1.0
TUSD,2020-07-23,1.001,1.006,0.9447,1.001
TUSD,2020-07-24,1.001,1.008,0.9865,1.0
TUSD,2020-07-25,1.0,1.017,0.9703,1.0
TUSD,2020-07-26,1.0,1.019,0.9806,1.001
TUSD,2020-07-27,1.0,1.012,0.9618,1.0
TUSD,2020-07-28,1.0,1.019,0.9826,0.9997
TUSD,2020-07-29,0.9997,1.01,0.9906,1.001
TUSD,2020-07-30,1.001,1.006,0.9847,0.9978
TUSD,2020-07-31,0.9996,1.007,0.9961,1.0
TUSD,2020-08-01,0.9995,1.005,0.9934,0.9996
TUSD,2020-08-02,0.9998,1.023,0.9758,1.0
TUSD,2020-08-03,1.001,1.005,0.9905,0.9959
TUSD,2020-08-04,0.9959,1.012,0.9926,1.0
TUSD,2020-08-05,1.0,1.004,0.9933,1.0
TUSD,2020-08-06,1.0,1.004,0.9887,0.999
TUSD,2020-08-07,0.999,1.003,0.9933,0.999
TUSD,2020-08-08,0.999,1.004,0.9933,0.998
TUSD,2020-08-09,0.998,1.004,0.9956,1.0
TUSD,2020-08-10,1.0,1.002,0.9964,0.999
TUSD,2020-08-11,0.999,1.004,0.9942,1.001
TUSD,2020-08-12,1.001,1.003,0.9968,0.9992
TUSD,2020-08-13,1.0,1.005,0.9956,1.0
TUSD,2020-08-14,1.0,1.005,0.9964,0.998
TUSD,2020-08-15,0.998,1.005,0.9853,0.998
TUSD,2020-08-16,0.998,1.003,0.998,0.999
TUSD,2020-08-17,0.999,1.004,0.997,0.999
TUSD,2020-08-18,0.999,1.003,0.997,1.0
TUSD,2020-08-19,1.0,1.004,0.9965,0.999
TUSD,2020-08-20,0.999,1.005,0.9966,0.9994
TUSD,2020-08-21,0.9994,1.004,0.9977,1.0
TUSD,2020-08-22,1.0,1.004,0.9969,0.999
TUSD,2020-08-23,0.999,1.002,0.9965,1.0
TUSD,2020-08-24,1.0,1.003,0.996,0.9996
TUSD,2020-08-25,1.0,1.004,0.9946,1.0
TUSD,2020-08-26,1.0,1.004,0.997,1.0
TUSD,2020-08-27,1.0,1.004,0.9966,0.999
TUSD,2020-08-28,0.999,1.004,0.998,0.999
TUSD,2020-08-29,0.999,1.004,0.9968,1.0
TUSD,2020-08-30,1.001,1.004,0.9949,1.0
TUSD,2020-08-31,1.0,1.004,0.9974,0.9997
TUSD,2020-09-01,0.9998,1.003,0.998,0.998
TUSD,2020-09-02,0.998,1.005,0.994,0.998
TUSD,2020-09-03,0.998,1.006,0.9862,0.999
TUSD,2020-09-04,0.999,1.002,0.997,0.9995
TUSD,2020-09-05,0.9995,1.011,0.9947,1.0
TUSD,2020-09-06,1.0,1.013,0.9864,1.0
TUSD,2020-09-07,1.0,1.011,0.9932,1.0
TUSD,2020-09-08,1.0,1.005,0.9953,0.999
TUSD,2020-09-09,0.999,1.004,0.9957,1.001
TUSD,2020-09-10,1.001,1.01,0.9948,1.0
TUSD,2020-09-11,1.0,1.006,0.9963,1.0
TUSD,2020-09-12,1.0,1.005,0.9951,1.001
TUSD,2020-09-13,1.001,1.008,0.9947,0.9979
TUSD,2020-09-14,0.9978,1.008,0.9916,1.001
TUSD,2020-09-15,1.001,1.005,0.9967,1.001
TUSD,2020-09-16,1.001,1.005,0.9956,1.003
TUSD,2020-09-17,1.003,1.006,0.9945,0.9997
TUSD,2020-09-18,0.9998,1.005,0.9942,1.002
TUSD,2020-09-19,1.0,1.007,0.9968,1.0
TUSD,2020-09-20,1.0,1.005,0.9901,0.9981
TUSD,2020-09-21,0.9986,1.01,0.9918,1.0
TUSD,2020-09-22,1.0,1.007,0.9958,1.001
TUSD,2020-09-23,1.001,1.013,0.9885,0.9993
TUSD,2020-09-24,0.9991,1.01,0.9955,1.001
TUSD,2020-09-25,1.001,1.01,0.9955,0.999
TUSD,2020-09-26,0.999,1.004,0.9959,0.999
TUSD,2020-09-27,0.9984,1.007,0.9958,0.9982
TUSD,2020-09-28,0.9981,1.006,0.996,0.9999
TUSD,2020-09-29,0.9999,1.006,0.9954,1.002
TUSD,2020-09-30,1.002,1.005,0.9941,0.9984
TUSD,2020-10-01,0.9984,1.006,0.9942,1.0
TUSD,2020-10-02,1.0,1.006,0.9954,1.0
TUSD,2020-10-03,1.0,1.006,0.9964,1.001
TUSD,2020-10-04,1.001,1.007,0.9974,1.001
TUSD,2020-10-05,1.001,1.005,0.9965,1.0
TUSD,2020-10-06,1.0,1.008,0.9949,1.0
TUSD,2020-10-07,1.0,1.01,0.9953,0.9998
TUSD,2020-10-08,1.0,1.007,0.9947,0.9992
TUSD,2020-10-09,0.9992,1.004,0.996,1.002
TUSD,2020-10-10,1.002,1.004,0.9963,0.998
TUSD,2020-10-11,0.998,1.004,0.9947,1.002
TUSD,2020-10-12,1.002,1.009,0.9956,1.001
TUSD,2020-10-13,1.001,1.005,0.9918,1.0
TUSD,2020-10-14,1.001,1.004,0.9927,1.0
TUSD,2020-10-15,1.0,1.006,0.994,1.0
TUSD,2020-10-16,1.0,1.005,0.9934,1.002
TUSD,2020-10-17,1.002,1.006,0.9962,1.0
TUSD,2020-10-18,1.0,1.007,0.9956,1.0
TUSD,2020-10-19,0.9999,1.004,0.9967,0.999
TUSD,2020-10-20,0.999,1.005,0.9963,1.001
TUSD,2020-10-21,0.9998,1.005,0.996,0.998
TUSD,2020-10-22,0.998,1.007,0.997,1.0
TUSD,2020-10-23,1.0,1.005,0.994,0.9992
TUSD,2020-10-24,0.9989,1.005,0.9939,0.9999
TUSD,2020-10-25,0.9999,1.008,0.9825,1.0
TUSD,2020-10-26,1.0,1.007,0.9939,0.9991
TUSD,2020-10-27,0.9993,1.005,0.9957,0.9989
TUSD,2020-10-28,0.9994,1.01,0.9858,0.9996
TUSD,2020-10-29,0.9995,1.008,0.9939,0.9988
TUSD,2020-10-30,1.001,1.005,0.9946,1.001
TUSD,2020-10-31,1.001,1.006,0.9931,0.999
TUSD,2020-11-01,0.999,1.006,0.996,1.001
TUSD,2020-11-02,0.9995,1.006,0.9843,0.999
TUSD,2020-11-03,0.999,1.012,0.9943,1.001
TUSD,2020-11-04,1.001,1.014,0.9923,1.0
TUSD,2020-11-05,1.0,1.006,0.995,1.0
TUSD,2020-11-06,1.0,1.012,0.9901,0.999
TUSD,2020-11-07,0.999,1.002,0.9984,1.001
TUSD,2020-11-08,1.001,1.001,0.9989,1.0
TUSD,2020-11-09,1.0,1.001,0.9991,0.9998
TUSD,2020-11-10,0.9999,1.0,0.9984,0.9996
TUSD,2020-11-11,0.9997,1.001,0.9987,0.9996
TUSD,2020-11-12,0.9995,1.001,0.9985,0.9996
TUSD,2020-11-13,0.9996,1.0,0.9984,0.9987
TUSD,2020-11-14,0.9987,0.9995,0.9979,0.9989
TUSD,2020-11-15,0.9988,1.0,0.9981,0.9997
TUSD,2020-11-16,0.9988,1.0,0.9982,0.9993
TUSD,2020-11-17,0.9994,1.0,0.9984,0.9999
TUSD,2020-11-18,0.9999,1.0,0.9986,0.9988
TUSD,2020-11-19,0.9989,1.0,0.9982,0.9988
TUSD,2020-11-20,0.999,1.0,0.9987,0.9992
TUSD,2020-11-21,0.9992,1.0,0.9973,0.9978
TUSD,2020-11-22,0.9978,1.0,0.9968,0.9986
TUSD,2020-11-23,0.9986,1.0,0.9977,0.999
TUSD,2020-11-24,0.9989,1.001,0.9982,0.9985
TUSD,2020-11-25,0.9986,1.001,0.9982,0.9997
TUSD,2020-11-26,0.9998,1.01,0.9993,1.001
TUSD,2020-11-27,1.001,1.003,1.0,1.0
TUSD,2020-11-28,1.0,1.002,0.9998,1.0
TUSD,2020-11-29,1.0,1.001,0.9999,1.0
TUSD,2020-11-30,1.0,1.002,0.9994,1.0
TUSD,2020-12-01,1.0,1.002,0.9993,1.0
TUSD,2020-12-02,1.0,1.002,0.9995,1.001
TUSD,2020-12-03,1.001,1.001,0.9992,1.0
TUSD,2020-12-04,1.0,1.001,0.9992,0.9998
TUSD,2020-12-05,0.9998,1.001,0.9991,0.9995
TUSD,2020-12-06,0.9995,1.001,0.9992,1.0
TUSD,2020-12-07,1.0,1.001,0.9995,1.0
TUSD,2020-12-08,1.0,1.001,0.9993,1.001
TUSD,2020-12-09,0.9997,1.002,0.9996,0.9999
TUSD,2020-12-10,0.9999,1.001,0.9996,1.0
TUSD,2020-12-11,1.0,1.001,0.9997,1.001
TUSD,2020-12-12,1.001,1.001,0.9995,0.9995
TUSD,2020-12-13,1.0,1.01,0.9994,1.0
TUSD,2020-12-14,1.0,1.001,0.9996,1.0
TUSD,2020-12-15,1.0,1.001,0.9995,1.001
TUSD,2020-12-16,1.001,1.001,0.9944,0.999
TUSD,2020-12-17,0.999,0.9998,0.9972,0.9993
TUSD,2020-12-18,0.9994,1.001,0.9988,1.0
TUSD,2020-12-19,1.0,1.001,0.9987,0.9989
TUSD,2020-12-20,0.9989,0.9999,0.9987,0.9992
TUSD,2020-12-21,0.9993,1.002,0.9982,0.9993
TUSD,2020-12-22,0.9996,1.001,0.9984,0.9997
TUSD,2020-12-23,0.9997,1.001,0.9992,1.001
TUSD,2020-12-24,1.001,1.001,0.9991,0.9999
TUSD,2020-12-25,0.9999,1.001,0.9992,1.0
TUSD,2020-12-26,1.0,1.001,0.9985,0.9993
TUSD,2020-12-27,0.9993,1.001,0.9963,0.9999
TUSD,2020-12-28,0.9999,1.001,0.9982,1.001
TUSD,2020-12-29,1.001,1.002,0.9993,0.9998
TUSD,2020-12-30,0.9998,1.001,0.999,0.9996
TUSD,2020-12-31,0.9999,1.0,0.9979,0.9988
TUSD,2021-01-01,0.9988,1.0,0.9981,0.9993
TUSD,2021-01-02,0.9993,1.001,0.9966,1.0
TUSD,2021-01-03,1.0,1.001,0.9982,0.9997
TUSD,2021-01-04,0.9997,1.002,0.9949,0.9991
TUSD,2021-01-05,0.9991,1.001,0.9985,0.9994
TUSD,2021-01-06,0.9994,1.001,0.9953,0.9994
TUSD,2021-01-07,0.9993,1.001,0.9981,1.0
TUSD,2021-01-08,0.999,1.001,0.9978,0.9991
TUSD,2021-01-09,0.999,1.001,0.9981,0.9993
TUSD,2021-01-10,0.9992,1.005,0.9965,1.001
TUSD,2021-01-11,0.9997,1.006,0.9986,1.001
TUSD,2021-01-12,1.001,1.002,0.9987,1.0
TUSD,2021-01-13,1.001,1.002,0.9996,0.9999
TUSD,2021-01-14,0.9999,1.003,0.9988,1.0
TUSD,2021-01-15,1.0,1.004,0.9987,0.9996
TUSD,2021-01-16,1.002,1.002,0.999,1.0
TUSD,2021-01-17,1.0,1.002,0.9991,1.0
TUSD,2021-01-18,1.0,1.002,0.9996,1.001
TUSD,2021-01-19,1.001,1.005,0.9996,1.001
TUSD,2021-01-20,1.001,1.002,0.9986,1.0
TUSD,2021-01-21,1.0,1.003,0.999,1.001
TUSD,2021-01-22,1.001,1.002,0.9988,1.0
TUSD,2021-01-23,1.0,1.001,0.999,1.0
TUSD,2021-01-24,1.0,1.003,0.9991,1.0
TUSD,2021-01-25,1.0,1.002,0.9992,0.9999
TUSD,2021-01-26,0.9999,1.002,0.9995,1.0
TUSD,2021-01-27,1.0,1.001,0.9988,1.0
TUSD,2021-01-28,0.9999,1.001,0.9986,0.9988
TUSD,2021-01-29,0.9988,1.002,0.9974,0.9993
TUSD,2021-01-30,0.9993,1.002,0.9988,1.0
TUSD,2021-01-31,0.9997,1.001,0.9988,1.0
TUSD,2021-02-01,1.0,1.001,0.9991,1.001
TUSD,2021-02-02,1.001,1.002,0.9996,1.0
TUSD,2021-02-03,1.0,1.003,0.9984,0.9997
TUSD,2021-02-04,0.9997,1.0,0.9988,0.9998
TUSD,2021-02-05,0.9997,1.001,0.9989,0.999
TUSD,2021-02-06,0.999,1.003,0.9986,0.9994
TUSD,2021-02-07,0.9994,1.001,0.9985,1.0
TUSD,2021-02-08,1.0,1.005,0.9942,0.9999
TUSD,2021-02-09,0.9999,1.002,0.9987,1.0
TUSD,2021-02-10,1.0,1.001,0.9989,1.0
TUSD,2021-02-11,1.0,1.001,0.9989,0.9999
TUSD,2021-02-12,1.0,1.001,0.9985,0.9999
TUSD,2021-02-13,0.9999,1.001,0.9987,0.9999
TUSD,2021-02-14,0.9999,1.001,0.9988,1.0
TUSD,2021-02-15,1.0,1.002,0.9986,0.9997
TUSD,2021-02-16,0.9997,1.002,0.9991,1.0
TUSD,2021-02-17,0.9999,1.002,0.9994,0.9996
TUSD,2021-02-18,0.9997,1.001,0.9992,1.0
TUSD,2021-02-19,1.0,1.002,0.9992,0.9999
TUSD,2021-02-20,0.9999,1.001,0.9988,0.999
TUSD,2021-02-21,0.999,1.001,0.9987,0.9989
TUSD,2021-02-22,0.999,1.011,0.9986,0.9996
TUSD,2021-02-23,0.9996,1.007,0.9973,1.0
TUSD,2021-02-24,1.0,1.004,0.9994,1.001
TUSD,2021-02-25,1.001,1.001,0.9994,1.0
TUSD,2021-02-26,1.0,1.001,0.9982,0.9999
TUSD,2021-02-27,0.9998,1.001,0.9993,1.0
TUSD,2021-02-28,1.0,1.002,0.9999,1.0
TUSD,2021-03-01,1.0,1.002,0.9988,0.9999
TUSD,2021-03-02,0.9999,1.001,0.9985,1.0
TUSD,2021-03-03,1.0,1.001,0.9992,0.9998
TUSD,2021-03-04,0.9998,1.001,0.9994,0.9999
TUSD,2021-03-05,1.0,1.002,0.9997,1.001
TUSD,2021-03-06,1.001,1.002,0.9987,0.9996
TUSD,2021-03-07,0.9996,1.001,0.9989,0.9997
TUSD,2021-03-08,0.9998,1.001,0.999,0.9995
TUSD,2021-03-09,0.9995,1.001,0.9984,1.001
TUSD,2021-03-10,1.001,1.001,0.9992,1.0
TUSD,2021-03-11,1.0,1.001,0.9996,1.0
TUSD,2021-03-12,1.0,1.001,0.9997,1.001
TUSD,2021-03-13,1.001,1.003,0.9994,1.001
TUSD,2021-03-14,1.001,1.001,0.9994,0.9998
TUSD,2021-03-15,0.9998,1.002,0.9993,1.001
TUSD,2021-03-16,1.001,1.002,0.9994,0.9997
TUSD,2021-03-17,0.9998,1.001,0.9986,0.9991
TUSD,2021-03-18,0.9991,1.001,0.9988,1.0
TUSD,2021-03-19,1.0,1.001,0.9994,1.0
TUSD,2021-03-20,1.0,1.001,0.9993,0.9999
TUSD,2021-03-21,0.9999,1.0,0.9989,0.9994
TUSD,2021-03-22,0.9994,1.001,0.9992,1.0
TUSD,2021-03-23,1.0,1.001,0.9975,1.0
TUSD,2021-03-24,0.9999,1.001,0.9996,0.9997
TUSD,2021-03-25,0.9997,1.001,0.999,0.9998
TUSD,2021-03-26,0.9998,1.001,0.9991,0.9994
TUSD,2021-03-27,0.9995,1.001,0.9992,0.9998
TUSD,2021-03-28,0.9998,1.001,0.9996,1.001
TUSD,2021-03-29,0.9998,1.004,0.9994,1.0
TUSD,2021-03-30,1.0,1.001,0.9994,1.001
TUSD,2021-03-31,1.001,1.001,0.9993,0.9997
TUSD,2021-04-01,0.9996,1.001,0.9994,0.9997
TUSD,2021-04-02,0.9997,1.001,0.9995,0.9998
TUSD,2021-04-03,0.9998,1.001,0.9994,0.9997
TUSD,2021-04-04,0.9997,1.001,0.9972,1.0
TUSD,2021-04-05,1.0,1.001,0.9992,0.9999
TUSD,2021-04-06,0.9999,1.007,0.9985,0.9997
TUSD,2021-04-07,0.9997,1.001,0.9993,0.9997
TUSD,2021-04-08,1.001,1.001,0.9991,1.0
TUSD,2021-04-09,1.0,1.001,0.9997,0.9999
TUSD,2021-04-10,0.9999,1.001,0.9994,1.001
TUSD,2021-04-11,1.001,1.001,0.9996,1.001
TUSD,2021-04-12,1.0,1.001,0.9992,1.001
TUSD,2021-04-13,1.001,1.001,0.9988,0.9993
TUSD,2021-04-14,0.9995,1.001,0.9982,1.0
TUSD,2021-04-15,1.0,1.001,0.9992,1.0
TUSD,2021-04-16,1.0,1.001,0.9985,0.9996
TUSD,2021-04-17,0.9996,1.0,0.9988,0.9999
TUSD,2021-04-18,0.9999,1.043,0.9959,0.9994
TUSD,2021-04-19,0.9993,1.002,0.9986,0.9998
TUSD,2021-04-20,1.0,1.003,0.9996,1.0
TUSD,2021-04-21,1.0,1.001,0.999,0.9994
TUSD,2021-04-22,0.9993,1.002,0.9993,1.0
TUSD,2021-04-23,1.0,1.002,0.9974,1.0
TUSD,2021-04-24,1.0,1.001,0.9996,1.0
TUSD,2021-04-25,1.0,1.001,0.9996,1.0
TUSD,2021-04-26,1.0,1.002,0.9993,1.0
TUSD,2021-04-27,1.0,1.0,0.9994,0.9996
TUSD,2021-04-28,0.9996,1.001,0.9992,0.9997
TUSD,2021-04-29,0.9997,1.001,0.9969,0.9997
TUSD,2021-04-30,0.9997,1.001,0.9988,0.9998
TUSD,2021-05-01,0.9999,1.0,0.9986,0.9988
TUSD,2021-05-02,0.9989,1.0,0.9988,0.9993
TUSD,2021-05-03,0.9993,1.001,0.9991,0.9996
TUSD,2021-05-04,0.9996,1.001,0.9988,1.0
TUSD,2021-05-05,1.0,1.001,0.999,1.0
TUSD,2021-05-06,1.0,1.001,0.9978,1.0
TUSD,2021-05-07,1.0,1.001,0.9987,0.9997
TUSD,2021-05-08,0.9997,1.0,0.999,0.9996
TUSD,2021-05-09,0.9995,1.001,0.9989,0.9999
TUSD,2021-05-10,0.9999,1.001,0.9989,0.9997
TUSD,2021-05-11,0.9997,1.001,0.9987,0.9995
TUSD,2021-05-12,0.9994,1.001,0.999,0.9998
TUSD,2021-05-13,0.9998,1.002,0.9988,1.001
TUSD,2021-05-14,1.001,1.001,0.9991,1.0
TUSD,2021-05-15,1.0,1.001,0.9991,1.0
TUSD,2021-05-16,1.0,1.002,0.9993,1.001
TUSD,2021-05-17,1.001,1.002,0.9962,1.0
TUSD,2021-05-18,1.0,1.0,0.9991,1.0
TUSD,2021-05-19,1.0,1.063,0.9953,1.001
TUSD,2021-05-20,1.001,1.01,0.9989,1.0
TUSD,2021-05-21,1.0,1.001,0.9985,1.001
TUSD,2021-05-22,1.001,1.003,0.9997,1.001
TUSD,2021-05-23,1.001,1.002,0.9998,1.001
TUSD,2021-05-24,1.001,1.001,0.9992,0.9996
TUSD,2021-05-25,0.9995,1.001,0.9988,0.9999
TUSD,2021-05-26,0.9999,1.001,0.9991,0.9997
TUSD,2021-05-27,0.9997,1.008,0.9914,1.006
TUSD,2021-05-28,1.006,1.007,0.9962,0.9998
TUSD,2021-05-29,0.9998,1.004,0.9957,1.0
TUSD,2021-05-30,1.0,1.004,0.9957,0.9998
TUSD,2021-05-31,0.9989,1.006,0.9951,0.9991
TUSD,2021-06-01,0.9998,1.008,0.9951,0.9998
TUSD,2021-06-02,1.0,1.004,0.9969,1.0
TUSD,2021-06-03,1.0,1.003,0.9969,1.0
TUSD,2021-06-04,1.0,1.006,0.9968,1.001
TUSD,2021-06-05,1.001,1.005,0.9893,0.9997
TUSD,2021-06-06,0.9997,1.002,0.9988,0.9999
TUSD,2021-06-07,1.0,1.005,0.9894,1.001
TUSD,2021-06-08,1.0,1.012,0.9959,0.9998
TUSD,2021-06-09,0.9999,1.013,0.9951,1.0
TUSD,2021-06-10,0.9997,1.01,0.9924,1.001
TUSD,2021-06-11,1.002,1.011,0.995,1.0
TUSD,2021-06-12,1.0,1.008,0.9956,0.9997
TUSD,2021-06-13,1.0,1.011,0.9919,0.9989
TUSD,2021-06-14,0.999,1.007,0.9931,1.0
TUSD,2021-06-15,1.0,1.003,0.9919,1.0
TUSD,2021-06-16,1.0,1.007,0.9954,0.9999
TUSD,2021-06-17,1.0,1.002,0.9966,1.001
TUSD,2021-06-18,1.0,1.005,0.9943,1.001
TUSD,2021-06-19,1.001,1.005,0.996,1.001
TUSD,2021-06-20,1.001,1.007,0.9942,1.0
TUSD,2021-06-21,1.0,1.013,0.9899,0.999
TUSD,2021-06-22,0.9994,1.016,0.9954,1.001
TUSD,2021-06-23,1.0,1.009,0.9936,1.0
TUSD,2021-06-24,1.0,1.006,0.9959,1.001
TUSD,2021-06-25,1.0,1.005,0.9953,0.9999
TUSD,2021-06-26,1.0,1.006,0.9918,1.001
TUSD,2021-06-27,1.001,1.007,0.9965,1.0
TUSD,2021-06-28,1.001,1.011,0.995,1.0
TUSD,2021-06-29,1.0,1.004,0.9967,1.0
TUSD,2021-06-30,1.001,1.006,0.992,1.0
TUSD,2021-07-01,1.0,1.007,0.9937,1.0
TUSD,2021-07-02,1.0,1.005,0.9951,1.0
TUSD,2021-07-03,1.0,1.004,0.9973,1.001
TUSD,2021-07-04,0.9995,1.004,0.9979,0.9979
TUSD,2021-07-05,0.9989,1.005,0.9917,1.001
TUSD,2021-07-06,1.0,1.007,0.9891,1.0
TUSD,2021-07-07,1.0,1.007,0.9978,1.001
TUSD,2021-07-08,1.0,1.006,0.9915,0.9995
TUSD,2021-07-09,0.9997,1.005,0.9963,0.9996
TUSD,2021-07-10,0.9995,1.005,0.9966,1.0
TUSD,2021-07-11,1.0,1.003,0.9979,1.0
TUSD,2021-07-12,1.001,1.002,0.9971,1.0
TUSD,2021-07-13,0.9998,1.003,0.9971,1.0
TUSD,2021-07-14,0.9997,1.004,0.9953,1.0
TUSD,2021-07-15,1.0,1.004,0.9962,1.0
TUSD,2021-07-16,1.0,1.005,0.9979,1.001
TUSD,2021-07-17,1.0,1.005,0.9969,0.9978
TUSD,2021-07-18,0.9977,1.007,0.9958,1.001
TUSD,2021-07-19,1.001,1.004,0.996,1.001
TUSD,2021-07-20,1.002,1.007,0.9954,0.9999
TUSD,2021-07-21,0.9999,1.001,0.9993,0.9999
TUSD,2021-07-22,1.0,1.001,0.9995,0.9999
